Ten_lop,ID_lop,ID_khoa
04410VL,392,0
04502CT,393,0
04502DN,394,0
04502KG,395,0
04502PY,396,0
04502VT,397,0
04503DN,398,0
04602VI,399,0
04603VI,400,0
04605VI,401,0
047020A,402,0
047020B,403,0
047020C,404,0
047030A,405,0
047030B,406,0
047030C,407,0
047050A,408,0
047050B,409,0
047050C,410,0
047090A,411,0
047090B,412,0
047090C,413,0
04D02VDA,414,0
04D03VDA,415,0
051011A,416,0
051011B,417,0
051011C,418,0
051012A,419,0
051012B,420,0
051012C,421,0
05101VT,422,0
051021A,423,0
051021B,424,0
051021C,425,0
051022A,426,0
051022B,427,0
051022C,428,0
051031A,429,0
051031B,430,0
051031C,431,0
051032A,432,0
051032B,433,0
051032C,434,0
051041A,435,0
051041B,436,0
051042A,437,0
051042B,438,0
05104BD,439,0
05104CTU,440,0
05104LD,441,0
05104VT,442,0
051051A,443,0
051051B,444,0
051051C,445,0
051052A,446,0
051052B,447,0
051052C,448,0
051060A,449,0
051060B,450,0
051060C,451,0
05106C,452,0
051070A,453,0
051070B,454,0
051070C,455,0
051081A,456,0
051081B,457,0
051082A,458,0
051082B,459,0
051091A,460,0
051091B,461,0
051092B,462,0
051101A,463,0
051101B,464,0
051101C,465,0
051102A,466,0
051102B,467,0
051102C,468,0
0511101B,469,0
051111A,470,0
051111B,471,0
051111C,472,0
051112A,473,0
051112B,474,0
051112C,475,0
051120A,476,0
051120B,477,0
051120C,478,0
051130A,479,0
051130B,480,0
051130C,481,0
051140A,482,0
051140B,483,0
051140C,484,0
051150A,485,0
051150B,486,0
051150C,487,0
051160A,488,0
051160B,489,0
051160C,490,0
051171A,491,0
051171B,492,0
051171C,493,0
051172A,494,0
051172B,495,0
051172C,496,0
051181A,497,0
051181B,498,0
051181C,499,0
051182A,500,0
051182B,501,0
051182C,502,0
051210A,503,0
051210B,504,0
051210C,505,0
05121LD,506,0
051230A,507,0
051230B,508,0
051230C,509,0
052010A,510,0
052010B,511,0
052020A,512,0
052020B,513,0
052030A,514,0
052030B,515,0
052050A,516,0
052050B,517,0
052090A,518,0
052090B,519,0
053010A,520,0
053010B,521,0
053020A,522,0
053020B,523,0
053050A,524,0
053090B,525,0
055010A,526,0
055010B,527,0
05502,528,0
055020A,529,0
055020B,530,0
055020C,531,0
055020D,532,0
055020E,533,0
05502SP,534,0
05502ĐN,535,0
055030A,536,0
055030B,537,0
055030C,538,0
055030D,539,0
055030E,540,0
055030F,541,0
05503SP,542,0
055050A,543,0
055050B,544,0
055050C,545,0
057010A,546,0
057010B,547,0
05701C,548,0
057020A,549,0
057020B,550,0
057030A,551,0
057030B,552,0
057050A,553,0
057050B,554,0
057090A,555,0
057090B,556,0
05D02VDA,557,0
05D02VDB,558,0
05D03VDA,559,0
05D03VDB,560,0
05D09,561,0
05HW,562,0
061011A,563,0
061011B,564,0
061011C,565,0
061012A,566,0
061012B,567,0
061012C,568,0
06101LD,569,0
061021A,570,0
061021B,571,0
061021C,572,0
061022A,573,0
061022B,574,0
061022C,575,0
06102BD,576,0
06102CLC,577,0
06102CTU,578,0
06102VT,579,0
061031A,580,0
061031B,581,0
061031C,582,0
061032A,583,0
061032B,584,0
061032C,585,0
061041A,586,0
061041B,587,0
061042A,588,0
061042B,589,0
06104LD,590,0
061051A,591,0
061051B,592,0
061051C,593,0
061052A,594,0
061052B,595,0
061052C,596,0
061060A,597,0
061060B,598,0
061060C,599,0
061070A,600,0
061070B,601,0
061070C,602,0
061081A,603,0
061081B,604,0
061082A,605,0
061082B,606,0
061091A,607,0
061091B,608,0
061092A,609,0
061092B,610,0
061101A,611,0
061101B,612,0
061101C,613,0
061102A,614,0
061102B,615,0
061102C,616,0
06110CL,617,0
06110CLC,618,0
061111A,619,0
061111B,620,0
061112A,621,0
061112B,622,0
061120A,623,0
061120B,624,0
061120C,625,0
06112CLC,626,0
061130A,627,0
061130B,628,0
061130C,629,0
061141A,630,0
061141B,631,0
061142A,632,0
061142B,633,0
061150A,634,0
061150B,635,0
061150C,636,0
061160A,637,0
061160B,638,0
061170A,639,0
061170B,640,0
061170C,641,0
061180A,642,0
061180B,643,0
061180C,644,0
061190A,645,0
061190B,646,0
061190C,647,0
061201A,648,0
061201B,649,0
061202A,650,0
061202B,651,0
061210A,652,0
061210B,653,0
061230A,654,0
061230B,655,0
061241A,656,0
061241B,657,0
061242A,658,0
061242B,659,0
062010A,660,0
062010B,661,0
062020A,662,0
062020B,663,0
062030A,664,0
062030B,665,0
062050A,666,0
062050B,667,0
062090A,668,0
062090B,669,0
062130A,670,0
062130B,671,0
063010A,672,0
063010B,673,0
063020A,674,0
063020B,675,0
063050A,676,0
063090A,677,0
06402ĐN,678,0
06408SP,679,0
06501SP,680,0
06502DN,681,0
06502SP,682,0
06503SP,683,0
06505SP,684,0
067010A,685,0
067010B,686,0
067010C,687,0
067011A,688,0
067020A,689,0
067020B,690,0
067030A,691,0
067030B,692,0
067030D,693,0
067030E,694,0
067031A,695,0
067050A,696,0
067050B,697,0
067050D,698,0
06705B,699,0
067090A,700,0
067090B,701,0
06D02VDA,702,0
06D02VDB,703,0
06D03VDA,704,0
06D03VDB,705,0
071011A,706,0
071011B,707,0
071011C,708,0
071012A,709,0
071012B,710,0
071012C,711,0
07101BD,712,0
07101LD,713,0
071021A,714,0
071021B,715,0
071021C,716,0
071022A,717,0
071022B,718,0
071022C,719,0
07102CLC,720,0
07102LD,721,0
071031A,722,0
071031B,723,0
071031C,724,0
071032A,725,0
071032B,726,0
071032C,727,0
071041A,728,0
071041B,729,0
071042A,730,0
071042B,731,0
07104CTU,732,0
07104VT,733,0
071051A,734,0
071051B,735,0
071051C,736,0
071052A,737,0
071052B,738,0
071052C,739,0
07105CLC,740,0
071060A,741,0
071060B,742,0
071060C,743,0
071070A,744,0
071070B,745,0
071070C,746,0
071080A,747,0
071081A,748,0
071081B,749,0
071082A,750,0
071082B,751,0
071091A,752,0
071092A,753,0
071092B,754,0
071101A,755,0
071101B,756,0
071101C,757,0
071102A,758,0
071102B,759,0
071102C,760,0
07110CLC,761,0
071111A,762,0
071111B,763,0
071112A,764,0
071112B,765,0
07111CLC,766,0
071121A,767,0
071121B,768,0
071122A,769,0
071122B,770,0
07112CLC,771,0
071130A,772,0
071130B,773,0
071130C,774,0
071141A,775,0
071141B,776,0
071142A,777,0
071142B,778,0
071150A,779,0
071150B,780,0
071150C,781,0
071160A,782,0
071160B,783,0
071160C,784,0
071170A,785,0
071170B,786,0
071170C,787,0
07117BD,788,0
071180A,789,0
071180B,790,0
071180C,791,0
071190A,792,0
071190B,793,0
071190C,794,0
071201A,795,0
071201B,796,0
071202A,797,0
071202B,798,0
071210A,799,0
071210B,800,0
071210C,801,0
071230A,802,0
071230B,803,0
071230C,804,0
071241A,805,0
071241B,806,0
071241C,807,0
071242A,808,0
071242B,809,0
071242C,810,0
071251A,811,0
071251B,812,0
071252A,813,0
071252B,814,0
072010A,815,0
072010B,816,0
072020A,817,0
072020B,818,0
072030A,819,0
072030B,820,0
072050A,821,0
072050B,822,0
072090A,823,0
072090B,824,0
072130A,825,0
072130B,826,0
073010A,827,0
073010B,828,0
073020A,829,0
073020B,830,0
073030A,831,0
073030B,832,0
073050B,833,0
07401CT,834,0
07502PLA,835,0
07503DN,836,0
07503SP,837,0
077010A,838,0
077010B,839,0
077010C,840,0
077010E,841,0
077020A,842,0
077020B,843,0
077020C,844,0
077030A,845,0
077030B,846,0
077030C,847,0
077030D,848,0
077050A,849,0
077050B,850,0
077050C,851,0
077090A,852,0
077090B,853,0
077090C,854,0
07BM,855,0
07D02VDA,856,0
07D02VDB,857,0
07D02VDC,858,0
07D02VDD,859,0
07D03VDA,860,0
07D03VDB,861,0
07D03VDC,862,0
07D03VDD,863,0
081011A,864,0
081011B,865,0
081011C,866,0
081011D,867,0
081012A,868,0
081012B,869,0
081012C,870,0
081012D,871,0
08101CLC,872,0
08102,873,0
081021A,874,0
081021B,875,0
081021C,876,0
081021D,877,0
081022A,878,0
081022B,879,0
081022C,880,0
08102CL1,881,0
08102CL2,882,0
08102CLC,883,0
08102CTU,884,0
081031A,885,0
081031B,886,0
081031C,887,0
081032A,888,0
081032B,889,0
081032C,890,0
081041A,891,0
081041B,892,0
081042A,893,0
081051A,894,0
081051B,895,0
081051C,896,0
081051D,897,0
081052A,898,0
081052B,899,0
081052C,900,0
08105CLC,901,0
081060A,902,0
081060B,903,0
08107,904,0
081070A,905,0
081070B,906,0
081081A,907,0
081081B,908,0
081091A,909,0
081091B,910,0
081092A,911,0
081101A,912,0
081101B,913,0
081101C,914,0
081102A,915,0
081102B,916,0
081102C,917,0
08110CL1,918,0
08110CL2,919,0
08110CLC,920,0
081111A,921,0
081111B,922,0
081111C,923,0
081112A,924,0
081112B,925,0
08111CLC,926,0
081121A,927,0
081121B,928,0
