ID_Mon,TenMon,KyHieu,TinhTrang
435,Thực tập thiết kế mạch,PEEE210229,29
436,Thực tập Vi xử lý,PDTM311029,29
437,Thực tập Servo,PESD314129,29
438,Thực tập tốt nghiệp (CĐT),FAIN442029,29
439,Đồ án tốt nghiệp,UGRA475529,29
440,Mỹ thuật Công nghiệp,AEST220224,24
441,Kỹ thuật vẽ phác,SCDR130324,24
442,Hệ thống SCADA,SCDA331629,29
443,Thị giác máy,MAVI332529,29
444,Xử lý tín hiệu số,DIPR337529,29
445,Hệ thống nhúng,EMSY337329,29
446,IoT trong lĩnh vực Cơ điện tử,IoTM337629,29
447,Ứng dụng CAE trong thiết kế,CAED321024,24
448,Nhập môn dữ liệu lớn (Big Data Essentials),BDES333877,77
449,Calculus I,MATH132401E,1
450,Calculus II,MATH132501E,1
451,Calculus III,MATH132601E,1
452,Mathematical Statistics for Engineers,MATH132901E,1
453,Applied Mathematics in Engineering,AMME131529E,29
454,Physics 1,PHYS130902E,2
455,Physics 2,PHYS131002E,2
456,Physics - Laboratory 1,PHYS111202E,2
457,General Chemistry for Engineers,GCHE130603E,3
458,Introduction to Robotics and Artificial Intelligence Engineering,INME130229E,29
459,Computer Programming 1,COPR134529E,29
460,Digital Techniques,DITE226829E,29
461,Mechanical engineering drawing,MEDR141123E,23
462,Engineering Mechanics,ENME130620E,20
463,Mechanics of materials (mechanical engineering),MEMA230720E,20
464,Mechanisms and machine components design,MMCD230323E,23
465,Microcontroller,MICO336929E,29
466,Sensors and Actuators,ENMA225929E,29
467,Automatic Control,AUCO330329E,29
468,Computer Programming 2,COPR231329E,29
469,Electrical and Electronics Engineering,EEEN230129E,29
470,Optimal Design of Robots,OPDE330120E,20
471,Big Data,BIDA330729E,29
472,"Human Robot Interaction, VR and VA",HROI330829E,29
473,Visual Geometry and Vision Machine,MAVI332529E,29
474,Artificial intelligence,ARIN331029E,29
475,Seminar on Industrial Demands (Robotics),SEMI322729E,29
476,Practice of Automatic Control Systems,PACS323729E,29
477,Basic Mechanical Practice,BMPR230527E,27
478,Practice of Micro-Processors and Embedded Systems,PMEM313929E,29
479,Practice of Robotics and Sensors,PIRS314029E,29
480,Practice of Artificial Intelligence,PAIN324129E,29
481,Practice of Manufacturing Process Automation,PAUT324229E,29
482,Graduation Internship (ROBOT),FAIN444429E,29
483,Project of Robot Mechanical Design,PRME212329E,29
484,Project of Robot Electronics - Control,PREE212429E,29
485,Project of Robotics and AI,PRRO312529E,29
486,Capstone Project,CAPR472629E,29
487,Industrial Fine Arts,AEST220224E,24
488,Sketch,SCDR130324E,24
489,Fluid Mechanics and CFD,FLUI230120E,20
490,Manufacturing Process Automation,MPAU330729E,29
491,Materials Processing Engineering,MAPE230530E,30
492,Dynamics of multi-body systems,DYNA330429E,29
493,Introduction to Finite Element Method,IFEM230220E,20
494,Digital Signal Processing,DIPR337529E,29
495,Embedded Systems,EMPR337329E,29
496,Real-Time Systems,RETI130929E,29
497,Autonomous Vehicles and Mobile Robots,AVMR330929E,29
498,Advanced Robot Programming,ADRO331329E,29
499,Software architectures for robotics and AI,SARO331429E,29
500,IoT (Internet of Things),IOTS331529E,29
501,Walking and Humanoid Robots,HURO331629E,29
502,Nonlinear and Multi-Variable Control,NOCO331729E,29
503,Artificial Neural Network,NNET331829E,29
504,Modelling and control of industrial manipulators,MOCO331929E,29
505,Telerobotics/ Haptics Robot,HARO332029E,29
506,BioMimetics/BioRobotics,BIRO332129E,29
507,Cooperative Robotics/Distributive Robotics/Modular Robotics,MORO332229E,29
508,Nhập môn Kỹ thuật Công nghiệp,INME130126,26
509,Đồ án Kỹ thuật Công nghiệp 1,PRIE311126,26
510,Vận trù học ,OPRE230726,26
511,Kỹ thuật điều khiển,COEN245926,26
512,Quản trị sản xuất,PRMA230326,26
513,Kinh tế kỹ thuật ,ENEC222126,26
514,Lập kế hoạch và điều độ sản xuất,PLSC331126,26
515,Tự động hóa quá trình sản xuất (KCN),MPAU220726,26
516,Logistics và Quản trị chuỗi cung ứng,SCMA331226,26
517,Mô hình hóa và mô phỏng hệ thống công nghiệp,MSIS321026,26
518,Kỹ thuật Robot (KCN),ROBO331126,26
519,Thí nghiệm Kỹ thuật Robot (KCN),EXRO311126,26
520,Đồ án Kỹ thuật Công nghiệp 2,PRIE411226,26
521,Quản trị dự án ,PROM330326,26
522,Quản trị chất lượng,QUMA331326,26
523,Chuyên đề doanh nghiệp (KCN),SEMI421626,26
