"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"415","Trí tuệ nhân tạo","ARIN337629",NULL,NULL,NULL,NULL,"29"
"416","Thí nghiệm Công nghệ tạo mẫu nhanh & Thiết kế ngược","ERED314124",NULL,NULL,NULL,NULL,"24"
"417","Lập trình ứng dụng trong kỹ thuật","COPR231329",NULL,NULL,NULL,NULL,"29"
"418","Cảm biến và cơ cấu chấp hành","SEAC225929",NULL,NULL,NULL,NULL,"29"
"419","Nhập môn Công nghệ Kỹ thuật Cơ Điện Tử","INME130129",NULL,NULL,NULL,NULL,"29"
"420","Đồ án Truyền động cơ khí","MDDP310523",NULL,NULL,NULL,NULL,"23"
"421","Điều khiển tự động","AUCO230329",NULL,NULL,NULL,NULL,"29"
"422","Kỹ thuật điện – điện tử","EEEN230129",NULL,NULL,NULL,NULL,"29"
"423","Kỹ thuật số","DITE226829",NULL,NULL,NULL,NULL,"29"
"424","Kỹ thuật gia công vật liệu","MAPE230430",NULL,NULL,NULL,NULL,"30"
