"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"284","Lập báo cáo tài chính","FIAC430807",NULL,NULL,NULL,NULL,NULL
"285","Kế toán tài chính nâng cao","ADFA431807",NULL,NULL,NULL,NULL,NULL
"286","Kiểm toán 1","AUDI430207",NULL,NULL,NULL,NULL,NULL
"287","Kiểm toán 2","ADAU430907",NULL,NULL,NULL,NULL,NULL
"288","Phần mềm kế toán","ACSO430407",NULL,NULL,NULL,NULL,NULL
"289","Phân tích hoạt động kinh doanh","BUAN331107",NULL,NULL,NULL,NULL,NULL
"290","Nghiệp vụ ngân hàng thương mại","COBA330507",NULL,NULL,NULL,NULL,NULL
"291","Tài chính doanh nghiệp 1","COFI330307",NULL,NULL,NULL,NULL,NULL
"292","Tài chính doanh nghiệp 2","ADCF430307",NULL,NULL,NULL,NULL,NULL
"293","Thực tập tốt nghiệp","INTE421007",NULL,NULL,NULL,NULL,NULL
"294","Khóa luận tốt nghiệp","GRAT452107",NULL,NULL,NULL,NULL,NULL
"295","Đầu tư quốc tế","ININ220608",NULL,NULL,NULL,NULL,NULL
"296","Thị trường chứng khoán","SEMA430807",NULL,NULL,NULL,NULL,NULL
"297","Anh văn chuyên ngành KT (Business English)","ACBU331507",NULL,NULL,NULL,NULL,NULL
"298","Kế toán hành chính sự nghiệp","APAC330607",NULL,NULL,NULL,NULL,NULL
"299","Kế toán ngân hàng","BAAC331407",NULL,NULL,NULL,NULL,NULL
"300","Lập sổ sách kế toán trên Access","REAC321307",NULL,NULL,NULL,NULL,NULL
"301","Lập sổ sách kế toán trên Excel","REEX321207",NULL,NULL,NULL,NULL,NULL
"302","Quản trị sản xuất","PRMA330806",NULL,NULL,NULL,NULL,NULL
"303","Lập và phân tích dự án","PRAN331106",NULL,NULL,NULL,NULL,NULL
"304","Quản trị marketing","MAMA31706",NULL,NULL,NULL,NULL,NULL
"305","Nhập môn ngành Quản lý CN","INMA130106",NULL,NULL,NULL,NULL,NULL
"306","Vẽ kỹ thuật","TEDG130120",NULL,NULL,NULL,NULL,NULL
"307","Thống kê trong kinh doanh ","BSTA231006",NULL,NULL,NULL,NULL,NULL
"308","Phân tích dữ liệu","DANA230706",NULL,NULL,NULL,NULL,NULL
"309","Quản trị sản xuất 2","PRMA331506",NULL,NULL,NULL,NULL,NULL
"310","Thực hành Quản trị sản xuất","PRMP330806",NULL,NULL,NULL,NULL,NULL
"311","Sản xuất tinh gọn","LEAN420806",NULL,NULL,NULL,NULL,NULL
"312","Quản trị chất lượng","QMAN331606",NULL,NULL,NULL,NULL,NULL
"313","6 Sigma căn bản","SSFU420906",NULL,NULL,NULL,NULL,NULL
"314","Quản lý bảo trì công nghiệp","MAIM330406",NULL,NULL,NULL,NULL,NULL
"315","Quản trị nguồn nhân lực","HRMA331206",NULL,NULL,NULL,NULL,NULL
"316","An toàn lao động và môi trường công nghiệp","WSIE320425",NULL,NULL,NULL,NULL,NULL
"317","Văn hóa doanh nghiệp","BCUL330506",NULL,NULL,NULL,NULL,NULL
"318","Hành vi tổ chức","ORBE330306",NULL,NULL,NULL,NULL,NULL
"319","Quản trị marketing","MAMA330906",NULL,NULL,NULL,NULL,NULL
"320","Kế hoạch kinh doanh","BPLA430606",NULL,NULL,NULL,NULL,NULL
"321","Chuyên đề doanh nghiệp (QLCN)","ENPR221106",NULL,NULL,NULL,NULL,NULL
"322","Thực tập tốt nghiệp","INTE421106",NULL,NULL,NULL,NULL,NULL
"323","Khóa luận tốt nghiệp","IMGR461206",NULL,NULL,NULL,NULL,NULL
"324","Đồ hoạ kỹ thuật trên máy tính (CAD)Auto Cad căn bản","CADM230320",NULL,NULL,NULL,NULL,NULL
"325","Tự động hóa quá trình sản xuất","AMAP432225",NULL,NULL,NULL,NULL,NULL
"326","Kỹ thuật điện","ELEN232044",NULL,NULL,NULL,NULL,NULL
"327","Thiết kế WEB","WEDE330484",NULL,NULL,NULL,NULL,NULL
"328","Quản trị công nghệ","TEMA331406",NULL,NULL,NULL,NULL,NULL
"329","Kế toán quản trị","MAAC331307",NULL,NULL,NULL,NULL,NULL
"330","Cơ khí đại cương","GMEN134025",NULL,NULL,NULL,NULL,NULL
"331","Kỹ thuật số","DITE334029",NULL,NULL,NULL,NULL,NULL
"332","Toán 3","MATH132601",NULL,NULL,NULL,NULL,NULL
"333","Toán ứng dụng trong cơ khí","AMME131529",NULL,NULL,NULL,NULL,NULL
"334","Tin học trong kỹ thuật","COPR134529",NULL,NULL,NULL,NULL,NULL
"335","Cơ kỹ thuật","ENME130620",NULL,NULL,NULL,NULL,NULL
"336","Hóa đại cương","GCHE130603",NULL,NULL,NULL,NULL,NULL
"337","Vật lý 2","PHYS131002",NULL,NULL,NULL,NULL,NULL
"338","Thí nghiệm vật liệu học","MATE210330",NULL,NULL,NULL,NULL,NULL
"339","Anh văn chuyên ngành cơ khí","ENME320124",NULL,NULL,NULL,NULL,NULL
"340","Đồ án Công nghệ chế tạo máy","PMMT113625",NULL,NULL,NULL,NULL,NULL
"341","Chuyên đề Doanh nghiệp (CNKTCK)","SEMI322824",NULL,NULL,NULL,NULL,NULL
"342","Thiết kế, chế tạo khuôn mẫu","MOLD331224",NULL,NULL,NULL,NULL,NULL
